Neighborhood;BldClassif;YearBuilt;GrossSqFt;GrossIncomeSqFt;MarketValueperSqFt
4;1;1954;78700;32;149
22;2;1910;17466;14;29.7
9;1;1930;61568;36;167
4;1;1905;25800;35;163
20;0;1910;48685;32;149
4;1;1915;57491;33;154
16;2;1925;17410;13;27.6
1;1;1963;560525;29.9;139
27;2;1910;8536;35.4;165
4;1;1961;120034;34;158
1;1;1949;153525;33;154
15;2;1910;8445;35.3;165
32;1;1941;80000;35;163
7;1;1928;156303;23;95
9;1;1913;114150;32;149
4;1;1928;9704;36;168
6;2;1910;10050;31;144
2;1;1900;18616;37.3;174
11;2;1920;18884;14.57;30.9
4;1;1928;218907;29;135
29;0;1925;50968;31.4;146
17;1;1900;156986;14.08;43.8
4;1;1980;50874;35;163
2;0;1908;30378;36.2;169
32;2;1910;7220;33;154
2;0;1910;33923;34.8;162
14;1;1920;23628;35.3;164
4;1;1928;120835;30;140
3;1;1921;35040;30.5;142
5;1;1920;81040;33.3;155
1;1;1910;106163;41.2;203
13;1;1926;65496;17.55;66
12;2;1926;12650;16;33.9
17;2;1920;10870;20.25;43
7;1;1931;349342;26;108
28;2;1900;15308;32.2;150
18;2;1928;47825;11.5;32.4
28;2;1901;23172;29.3;62
15;1;1913;32718;32.1;149
19;1;1927;65142;30;140
4;1;1925;156287;26.3;109
7;1;1913;140076;23;95
2;2;1900;14196;42.3;208
30;1;1963;101278;34;158
29;0;1925;74100;31.7;147
9;1;1925;109069;36;168
9;1;1948;22400;31;144
4;1;1962;94404;32;149
21;1;1924;34900;33;154
4;1;1928;109157;29;135
2;1;1930;55800;45;220
23;1;1940;127089;34;158
22;1;1926;78425;12;33.7
9;1;1902;59431;29;135
4;1;1961;153347;30;140
4;2;1920;8700;32;149
15;1;2003;95656;32.4;151
25;1;1945;16200;36.7;171
17;1;2004;29387;14.18;44.2
9;1;1922;28168;42;206
4;1;1987;218170;40;196
12;2;1920;19662;12;25.4
1;1;1959;117958;33;153
30;2;1920;9545;33;70
15;0;1909;49664;33.2;155
4;1;1912;145230;30.4;142
4;1;1929;40053;35;163
1;1;1917;173024;33;154
4;1;1928;61300;37;173
4;1;1915;128388;34;158
1;1;1907;59928;34;158
30;1;1962;418114;31;144
4;1;1980;25010;38;177
23;1;1916;40966;35.4;165
12;2;1910;16020;12;25.5
17;1;1917;158081;10.88;23.09
4;1;1917;59948;29.3;136
27;1;1910;22625;33;154
18;1;1920;75522;15;51
17;2;1920;25986;14.14;30
15;1;1927;32384;29.6;138
17;1;1985;212250;12.08;33.9
19;1;1960;247000;31;145
27;1;1920;25068;40;196
12;2;1920;24275;15;31.8
12;2;1910;22272;15;31.8
15;1;1963;247986;31;144
28;2;1920;17610;23.3;49.4
15;1;1925;20456;35.2;164
23;1;1975;329706;34;158
17;2;1910;9423;20.85;44.3
1;2;1910;7016;50;245
5;2;1900;12750;34;72
18;1;1916;56418;15.43;52
30;1;1968;122071;35;163
4;1;1925;33580;31;144
14;0;1900;20700;34;158
4;1;1928;81133;31;144
5;2;1900;13685;37.3;174
30;1;1941;98493;35.5;165
18;1;1910;46818;15;51
4;2;1930;8345;36;168
4;1;1967;43900;30;140
25;0;1913;55049;35.4;165
4;1;1925;69585;31.9;148
9;1;1930;56245;35;163
4;1;1960;190640;31.4;146
7;2;1910;7288;34;158
4;1;1901;47855;31;144
4;1;1927;37854;35;163
19;1;1931;179213;29;135
23;1;1924;72659;35.2;164
7;1;1925;97476;25;104
25;1;1964;358898;32;149
14;1;1966;172836;36;168
17;1;1926;25074;15.68;33.3
25;1;1951;84851;35.2;164
22;2;1910;15370;15;31.8
1;1;1908;134342;32;149
7;1;1928;59544;26;108
21;1;1908;122801;36;168
28;2;1910;18288;22.5;47.7
10;2;1910;15370;18.14;38.5
7;1;1931;109451;24;100
16;1;1937;31140;15;51
27;2;1920;19299;37.5;175
27;1;1920;9585;36;168
16;1;1966;78130;14;43.6
12;1;1910;76250;13;40.5
15;2;1900;14626;30.1;140
15;0;1909;53298;31;144
16;2;1916;18520;13;40.5
4;1;1925;63686;26;108
32;1;1975;265541;31;66
36;1;1915;17056;34.5;161
17;1;1926;64869;11.94;25.3
19;1;1959;60043;34;158
15;2;1900;10250;28.3;117
18;1;1920;43536;15;51
27;2;1900;21178;32.1;150
1;1;1962;194856;32.4;151
3;2;1900;9705;21;87
4;1;1910;19986;36;168
4;1;1927;59149;34;158
28;2;1900;8214;28.5;118
1;1;1960;166078;29.3;137
1;1;1930;273583;36;168
12;2;1900;12585;16;33.9
5;2;1910;5610;30.3;141
2;1;1965;261940;34.7;162
15;1;1925;39455;30;140
1;2;1910;9000;43;211
4;1;1930;244935;28.9;135
28;2;1920;15864;26;55
28;2;1900;8055;25.7;55
16;1;1940;47180;15;51
9;1;1925;85836;34;158
17;1;1957;225667;14.35;48.3
1;1;1924;67162;40.1;197
7;1;1926;245676;31;144
4;1;1971;211406;32;149
22;2;1910;15175;15;31.8
25;1;1963;136191;33;153
30;2;1930;9090;36;167
1;1;1920;55758;34;158
30;1;1924;9816;29;135
17;1;1970;449973;13.51;28.7
18;1;1940;82536;15;51
1;1;1948;322346;39.1;192
4;1;1913;47537;34.5;161
1;1;1926;183101;41.7;205
1;1;1960;326054;33;154
5;2;1915;23720;36.7;171
1;1;1975;700000;35;74
4;1;1922;77858;32;149
11;2;1900;11695;18.35;38.9
4;2;1910;8150;38;177
2;1;1923;168806;40.9;201
25;1;1935;49015;35.2;164
32;1;1965;189616;38;177
11;2;1900;11052;18.35;38.9
2;1;1964;139566;35.8;167
25;1;1956;170000;33.5;156
1;1;1932;90700;33;153
23;1;1938;14912;35.2;164
7;1;1910;32067;22;91
4;1;1960;126440;29;135
2;1;1962;100315;33.9;158
15;1;1930;101221;30;139
23;1;1924;58841;35;163
30;1;1923;75600;32;149
1;1;1917;101056;33;153
18;1;1920;52616;15;51
4;1;1920;12778;43;211
9;1;1928;43820;34;158
17;1;1930;36252;16.73;35.6
19;1;1929;127293;29.6;138
17;1;1915;47534;11.94;25.2
4;1;1929;213729;28.9;135
19;1;1928;105000;33;153
22;1;1915;50412;16;54
1;1;1947;77953;33;154
9;1;1925;127961;29;135
6;2;1900;21225;28;116
15;2;1905;7100;35.2;163
4;1;1930;165364;26.8;111
17;2;1920;17470;15.66;53
19;1;1931;195000;33;154
15;1;1900;32930;28.1;116
1;1;1960;148485;32;149
15;0;1918;32862;30.4;142
22;1;1920;167821;15;31.8
3;2;1926;12440;30;70
1;1;1926;55760;42.2;208
28;2;1939;10896;34;159
27;2;1920;16251;37.5;175
15;1;1900;6680;31.4;146
24;1;1960;46500;34;158
9;1;1929;209355;34;159
1;1;1930;31211;41;201
9;1;1928;186100;35;163
4;1;1940;43602;31;144
5;2;1910;9415;38.2;188
16;1;1937;38505;15;51
30;1;1940;307549;35.5;166
19;1;1977;300080;42;206
26;1;1964;287175;19;40.4
2;0;1912;41384;36.2;169
23;1;1955;65532;38.1;188
11;2;1940;9540;18.35;38.9
4;2;1920;8805;38;177
2;1;1966;212832;35;74
33;1;1900;111685;28.9;120
9;1;1907;122273;41;201
15;1;1963;817041;28.2;117
2;1;1959;71215;42;206
1;1;1927;84823;33;153
5;2;1910;8735;34;158
1;1;1920;94479;39;192
2;1;1930;102024;39.2;192
9;2;1900;7813;40;196
13;1;1910;64068;17.55;66
12;2;1915;12240;16;33.9
27;2;1920;14897;37.1;173
7;1;1923;68072;25;104
1;1;1925;25398;35;163
16;1;1935;82272;14;43.6
9;1;1910;41106;31;145
17;2;1921;10962;12.82;27.2
22;2;1915;15347;15;31.8
23;1;1966;129964;34;159
5;1;1961;137882;32.6;152
18;1;1923;60780;15;51
13;2;1901;24248;20.94;78
4;1;1925;107547;29.3;137
1;1;1920;49000;42.2;208
4;1;1928;89264;30;140
4;1;1917;50700;30.4;142
14;0;1880;125590;36;168
1;1;1922;104075;34.5;160
27;2;1900;10400;31.3;66
17;2;1901;17255;17.54;37.2
23;1;1923;37262;35.2;164
16;1;1939;85740;14;43.6
7;1;1931;64429;28;116
22;2;1910;15175;15;31.8
7;1;1925;43404;35;163
19;1;1929;58377;31;144
1;1;1965;132445;30.4;141
23;1;1924;35734;35.3;164
22;1;1920;60072;10.35;26.8
9;1;1925;93100;35;163
17;2;1920;10484;20.25;42.9
2;0;1900;86332;41.7;205
15;1;1910;8900;39.3;193
7;1;1914;59408;28;116
20;0;1915;23261;33;154
19;1;1925;73095;31;145
28;1;1900;19200;32.9;153
23;1;1955;30662;35;163
17;2;1920;12705;16.01;33.9
3;1;1929;21900;24.5;101
1;1;1920;12214;40;196
23;1;1974;107504;34;158
23;1;1930;10275;35;164
0;1;1927;168176;35.8;166
4;1;1971;391194;32;149
9;1;1965;44975;33;154
19;1;1926;29040;35;163
9;1;1930;384336;36;168
1;1;1956;238293;28.8;134
16;1;1964;208415;15;31.8
21;1;1916;111310;32;149
13;1;1926;27498;20.74;44
28;1;1973;173220;26.3;56
1;1;1962;139000;29.3;137
1;1;1940;15910;36;168
4;1;1970;363388;34.5;161
7;1;1924;80328;28;116
1;1;1962;115306;30;140
4;1;1928;107788;31;145
28;2;1900;18216;31.5;147
5;2;1900;8375;34;72
29;0;1910;55870;30;140
1;1;1955;84965;33;154
37;1;1977;1217600;29.8;139
15;2;1905;20050;34.9;163
15;2;1910;7992;30;140
4;2;1910;8150;38;177
3;1;1910;69485;16.5;56
9;1;1940;27176;31;144
17;2;1900;10460;12.82;27.2
25;1;1958;111396;32;149
9;1;1926;62487;29;135
7;1;1928;207126;30;140
3;1;1915;116520;19;71
18;2;1922;28775;14;29.7
4;2;1910;10830;33;153
4;1;1915;10439;41;201
11;2;1900;9645;18.35;69
3;1;1940;41520;18.5;69
1;1;1927;71697;39;191
26;1;1966;1191180;17.5;37.1
19;1;1963;68225;33;154
5;2;1920;12290;36.6;171
4;1;1926;142708;46.9;230
28;2;1950;11611;29.8;63
9;1;1913;55382;35;163
7;1;1925;81066;25;103
14;0;1900;69928;30;140
9;1;1926;62403;30;140
19;2;1910;12805;35;163
1;1;1929;82306;35;163
3;1;1940;111359;18;67
31;1;1915;26531;32.1;150
5;1;1962;91500;33.9;157
31;0;1910;28500;34.2;159
4;2;1925;8145;33;153
17;2;1920;25986;14.14;30
2;1;1961;235875;36;168
4;2;1920;9212;36;167
9;1;1925;82662;34;158
4;2;1910;9250;37;172
28;1;1940;55947;28.5;118
21;1;1960;135841;32;149
8;1;1928;121369;23;96
26;1;1925;27299;25.5;54
13;1;1907;28860;20.74;78
28;1;1920;27500;25;53
7;1;1928;75686;20;83
18;1;1951;316007;13;40.5
4;1;1925;116270;31;144
4;1;1920;16800;43;211
1;1;1924;16870;43;211
9;1;1918;50590;25;104
17;1;1921;49951;13.77;29.2
23;1;1916;39100;35;163
1;1;1910;13040;38;177
3;2;1910;8735;23;54
1;1;1962;147121;29.4;137
15;0;1910;20026;30;139
1;1;1957;35532;33;154
16;1;1972;461475;10.62;22.54
1;1;1960;184500;33.5;156
19;1;1957;90089;30;140
27;2;1920;6024;37;173
14;0;1925;32738;34;158
28;2;1900;13553;23;48.8
36;1;1915;88320;32.8;153
10;2;1910;13170;14.74;49.8
7;2;1910;11850;31;144
1;1;1938;86988;33;154
18;2;1923;28705;14;29.7
1;1;1963;174779;33;154
12;1;1910;22518;13;27.6
5;2;1900;12962;31.6;147
7;1;1929;108666;23;96
6;2;1930;21090;28;116
4;1;1942;71000;29;135
23;1;1942;50796;34;158
7;1;1950;89840;30;140
1;1;1927;196910;40.1;197
4;1;1916;80405;34;158
35;0;1900;73332;40;196
29;0;1929;72877;32.6;152
22;2;1910;15370;15;31.8
22;2;1906;13700;13.16;27.9
15;1;1928;33900;29.1;135
20;0;1900;91000;34;158
28;2;1930;10698;31.4;146
4;1;1930;199625;37;172
5;2;1910;14166;37.8;176
18;1;1920;34108;15;51
9;1;1917;84062;37;172
25;1;1930;72501;35.2;164
3;1;1911;94804;18;67
18;1;1940;58242;15;51
1;2;1930;15192;42;206
7;1;1917;74817;25;104
19;1;1961;95977;31.4;146
10;2;1910;12640;13;27.5
12;2;1910;14500;16;33.9
19;1;1930;77102;30;140
1;1;1963;134070;33;154
15;0;1898;26270;33.5;156
18;1;1963;271388;13;27.6
30;2;1920;14235;31;145
4;1;1928;208788;29;135
1;2;1910;8000;41;201
36;1;1890;49000;25;103
7;2;1921;38800;30;140
4;1;1920;19818;36;168
7;1;1911;100400;26;108
17;2;1920;11180;12.82;27.2
15;2;1910;10800;37;79
4;1;1925;174910;33;154
7;1;1969;193107;25;53
25;1;1910;75379;33.3;155
23;1;1960;61839;34;158
17;2;1932;34689;18.35;38.9
1;1;1959;208800;32.5;151
7;1;1925;148380;31;144
1;1;1920;13757;44;216
1;1;1907;134467;30;140
9;1;1923;47551;30;140
25;1;1900;13675;35;163
7;2;1930;16134;24;99
14;2;1920;13786;35;163
3;1;1920;20272;27;112
25;1;1928;71151;38.3;188
1;1;1924;64234;43.2;212
18;2;1950;47550;11.5;32.4
4;1;1920;21408;38.1;187
22;1;1909;68160;11.5;24.35
29;0;1928;69649;26;108
5;1;1956;45426;36.3;169
15;2;1920;21304;32.9;153
9;1;1920;61908;44;216
18;1;1928;56686;15;51
15;1;1920;42532;25.9;120
18;1;1920;86352;15;51
14;2;1920;15138;35;163
1;1;1938;113150;34.5;161
22;1;1946;44574;13;40.4
12;2;1926;11215;15;31.8
27;2;1900;9365;32;68
15;2;1920;9735;32.9;153
28;2;1923;9100;27.4;58
4;1;1961;130234;35;163
7;1;1900;24941;26;108
5;2;1900;10956;37.4;174
27;1;1930;14022;38.3;188
2;0;1896;74859;32.7;152
17;2;1910;22475;16.05;34
4;1;1959;86612;32;149
4;2;1920;10465;40;196
3;1;1908;28224;23;95
4;1;1925;70820;30.4;141
9;1;1965;177041;36;168
7;1;1922;64865;28;116
4;1;1961;210988;32;149
4;2;1910;8145;34.5;161
1;1;1948;161000;39.1;192
5;1;1960;127072;33.8;157
15;2;1901;11330;34;158
4;1;1950;44310;35;163
4;1;1928;37099;34;158
27;2;1900;10512;37;78
7;2;1910;7224;34;158
5;1;1930;16986;33.6;157
3;2;1920;12792;17;64
4;1;1973;384646;32;149
9;1;1925;54105;36;168
4;2;1920;7260;35;163
4;1;1939;48000;31;144
17;2;1910;13590;18.77;39.8
3;1;1910;53085;20;75
4;1;1930;181011;25.7;107
1;1;1927;202841;32.4;151
27;2;1920;11054;36.2;169
4;1;1926;48387;34;158
4;1;1942;71000;29;135
14;0;1910;40000;29.5;189
4;1;1938;131549;29;135
3;1;1931;128461;18.5;69
29;0;1912;73668;33.1;155
14;1;1963;33100;40;196
34;2;1910;11275;18.05;38.2
19;1;1931;102422;29;135
15;0;1918;66636;27.8;115
7;1;1966;177679;28;131
4;1;1942;71000;29;135
4;1;1962;97893;36;168
7;1;1908;25272;31;144
4;1;1930;93389;34;158
4;1;1912;13972;38;177
2;0;1910;29600;35.5;165
1;1;1910;30800;38;177
5;2;1900;6730;37.9;177
4;1;1926;121642;32;149
15;0;1913;77615;32.2;149
4;1;1916;37030;36;168
7;1;1917;36265;25;104
4;1;1902;68992;31;144
7;1;1936;39192;22;91
4;1;1929;129350;34;158
1;1;1924;69227;33.4;156
7;1;1931;352821;24;99
6;2;1901;7920;32;149
4;1;1924;51744;33.4;156
5;1;1961;168332;29.7;138
14;1;1910;19302;25;104
6;1;1939;17415;29;135
23;1;1963;204638;34;158
19;1;1950;45000;27;112
3;1;1926;62605;25;104
17;2;1910;13525;16.01;33.9
23;1;1910;16290;35.3;165
7;1;1936;44094;22;91
1;1;1937;89281;33;153
24;2;1910;9060;28.7;61
2;1;1964;419400;38.4;189
25;1;1920;6233;33;154
1;2;1910;8805;42;207
19;1;1931;67167;31;144
25;1;1909;80000;33.8;158
3;1;1929;197170;23;95
12;2;1926;12650;16;33.9
9;1;1931;126811;32;149
15;2;1900;8525;37;172
22;1;1925;59805;16;54
23;1;1927;28617;35.5;165
31;1;1919;73954;32.5;151
19;1;1928;89349;30;140
7;1;1916;47354;22;91
7;1;1925;55404;21;87
17;2;1909;10005;11.47;32.3
28;2;1900;10728;26;55
19;2;1901;11125;38;177
16;1;1939;87400;14;43.6
4;2;1920;9215;47;231
25;1;1925;31283;35.8;167
1;1;1926;67465;37.5;175
14;0;1900;51180;40;195
12;2;1920;13195;16;34
19;1;1920;18939;30;140
19;1;1942;21000;36;168
4;2;1939;25190;34;158
4;1;1915;32145;35;163
5;2;1939;118350;23.02;48.8
30;1;1923;37571;31;145
17;1;1920;21408;11.74;24.9
1;1;1930;142110;33.4;156
7;1;1926;123411;25;104
1;1;1963;107600;32.9;153
28;2;1900;17868;27.6;59
3;1;1905;32575;20;75
5;2;1900;19210;37;172
29;0;1915;95402;24.63;102
12;2;1930;20787;15;31.8
14;0;1900;46741;30;140
1;2;1910;7500;46;225
1;1;1964;168680;31.4;146
7;1;1924;52194;25;103
22;1;1920;74879;12;25.4
7;1;1922;203436;25;104
13;1;1926;55062;23.4;49.6
2;0;1900;40607;35;163
4;1;1912;81125;31.9;149
16;1;1925;41176;15;51
14;0;1918;43500;36;168
28;2;1910;14508;36.3;169
2;1;1960;31540;41.5;204
1;1;1962;72930;35;163
28;2;1900;17761;36.6;171
11;1;1890;35376;22.33;92
20;0;1904;32800;32;149
7;1;1910;18078;28;116
9;1;1931;617569;33;154
7;1;1920;53478;21;87
2;1;1924;65028;33.4;155
1;1;1959;119000;33;154
18;1;1930;58008;15;51
7;1;1927;238548;28;116
26;2;1900;20798;22.2;47.1
14;0;1926;55352;26.9;111
19;1;1925;29376;38;177
26;2;1920;20837;31.6;147
4;2;1920;8540;32;149
4;1;1912;96379;31.4;146
26;2;1900;12166;29.4;62
3;2;1900;28148;20.5;48
14;2;1920;9433;36;167
4;2;1920;8589;41;201
6;2;1910;9970;31;144
4;1;1924;31266;35;163
16;1;1952;62964;14;43.7
20;0;1909;31272;33;154
1;1;1961;162750;33.4;156
4;1;1930;22800;37;172
5;1;1915;29725;36.3;169
3;1;1923;150429;19.5;73
2;2;1900;13070;42.1;207
5;2;1900;9900;38.4;189
3;1;1920;96318;20;75
9;1;1942;32940;31;145
14;0;1920;24900;30;140
12;1;1910;29520;13;27.6
12;1;1909;33220;12;33.7
23;1;1957;77193;35;163
28;2;1935;15986;24;99
8;1;1925;52000;34;158
25;1;1910;17934;36.2;169
1;1;1925;87024;37;172
25;1;1940;50000;35;163
11;2;1920;11670;18.35;38.9
12;2;1910;16686;20;75
10;2;1910;13170;14.74;49.8
4;2;1930;8345;36;168
1;1;1910;19376;39;191
25;2;1900;11935;29;61
15;2;1900;8525;37;172
4;1;1924;62598;33.4;156
5;2;1900;19725;39.3;193
3;1;1926;95175;18;67
4;1;1950;17740;35;163
26;2;1920;18120;29;61
4;1;1927;128811;28.9;135
16;1;1949;44283;15;51
3;2;1910;9155;19.5;73
1;1;1959;182015;33;154
4;1;1937;160357;26.7;111
9;1;1925;143554;33;154
20;0;1905;69823;30;140
12;2;1920;3867;15;35.2
1;1;1951;72792;31.4;146
30;2;1920;11071;35;163
9;1;1910;58266;35;163
9;1;1922;46118;30;140
15;2;1900;12475;36.9;172
7;1;1924;87573;25;104
5;2;1920;26110;31.6;147
3;1;1915;26424;23.5;97
19;1;1955;90000;30;140
9;1;1924;49327;33;154
22;2;1907;16790;14;29.7
1;1;1920;66962;34;158
15;1;1920;20748;32.1;149
29;0;1910;14439;36;168
9;1;1915;24596;35;163
3;1;1920;33200;30;140
4;1;1953;222200;29;135
17;1;1968;1487977;9.75;20.7
2;0;1909;43010;35.1;163
4;1;1900;51912;30;140
23;1;1924;23944;35.5;165
2;2;1900;17626;39;191
25;1;1920;26263;35.4;165
5;2;1900;9600;37.5;175
16;1;1937;44644;15;51
17;2;1906;17100;16.01;33.9
35;2;1900;7632;26;55
18;1;1939;29322;15;51
7;2;1910;11825;37;173
32;1;1964;392100;31;144
1;1;1927;154827;33.4;156
6;1;1900;60000;26;108
19;1;1963;369736;32;149
17;1;2001;138050;24.98;104
15;1;1910;11165;36.7;171
17;1;1966;756400;14.71;31.2
4;1;1920;42286;34;158
30;1;1912;43243;25;104
5;1;1920;58565;29.9;139
35;0;1911;54431;45;220
1;1;1963;143840;33;154
7;2;1910;5355;27;112
23;1;1906;41670;36;168
34;2;1910;9335;17.97;38.1
1;1;1937;188158;39.1;192
5;2;1915;5960;37.8;176
18;1;1939;179130;15;51
9;1;1913;56074;33;154
4;2;1925;9190;34;159
1;1;1968;246320;30;140
16;1;2005;104180;14.47;49
1;1;1959;120328;33;154
1;1;1940;54774;38;177
34;2;1910;8530;18.24;38.7
7;2;1900;11000;35;163
26;1;1949;532006;25;104
4;1;1928;38094;35;163
1;2;1910;23000;56;275
1;1;1962;195000;28.9;134
34;1;2004;59411;22.02;91
7;1;1929;238456;25;104
37;0;1920;93378;28.4;118
5;0;1911;22671;34.4;160
18;1;1963;142470;15;51
19;2;1900;6040;32;149
28;2;1900;17205;23;48.8
4;1;1922;112398;31;144
9;2;1910;11197;33;154
23;1;1963;82014;34;159
12;2;1905;12040;16;33.9
18;2;1960;40304;11.5;32.3
23;1;1925;9958;37;173
29;0;1936;24292;35;163
15;1;1910;127000;28.3;132
14;2;1900;9398;36;168
23;0;1913;45937;35.3;164
19;1;1928;91617;30;140
28;2;1910;33000;23;48.8
5;2;1900;6160;38.1;187
1;2;1920;16285;37;173
4;2;1925;10340;40;196
36;0;1920;38700;31.6;147
2;1;1923;38915;38.2;187
4;2;1910;9040;33;154
15;1;1960;12888;47.3;233
1;1;1900;8710;38;177
1;1;1964;35104;35;163
14;1;1900;42111;30.5;142
19;1;1962;155000;33;154
7;1;1967;95759;24;51
15;1;1977;47433;37.9;186
1;1;1966;206504;33.5;156
19;2;1920;6000;40;197
16;1;1939;63804;14;43.6
15;2;1900;7400;35.1;164
23;1;1930;26070;35.7;166
30;1;1930;28034;27;112
4;2;1910;8145;34;158
19;1;1957;35840;33;154
1;1;1927;83036;33;153
3;1;1930;94674;18;67
1;2;1900;98580;35;163
26;2;1920;9858;28.4;118
22;2;1930;30134;14;29.7
9;1;1911;70080;35;163
35;2;1900;7779;26;55
12;2;1926;17420;12;25.4
7;1;1920;48155;20;75
7;1;1920;19362;27;112
15;1;1928;62638;33.5;156
30;1;1910;8179;33;154
12;2;1900;17350;12;25.4
23;1;1954;32150;35.1;164
31;0;1915;51748;32.3;151
25;1;1961;116191;33;154
7;1;1907;67142;20;75
16;1;1925;74934;14;43.6
16;2;1918;43195;13;40.5
26;2;1920;10255;34;158
4;1;1929;87869;30;140
1;1;1966;128255;34;158
5;1;1952;71490;35;164
6;2;1910;12315;32;68
15;1;1926;120010;25;103
31;1;1920;48079;33.6;156
19;1;1931;290482;32.4;151
2;0;1895;64326;33;154
1;1;1962;236350;28.9;135
2;0;1910;43020;41.1;202
30;1;1903;64757;31;144
26;1;1964;124600;18.65;39.6
4;1;1927;164868;36;167
9;1;1925;95992;34;158
7;1;1921;43260;22;91
1;1;1929;141160;44.3;217
31;1;1930;77630;32.7;152
1;1;1928;196400;33;154
25;1;1931;120300;33.2;155
4;1;1942;71000;29;135
6;1;1940;17484;29;135
30;2;1910;9120;28;116
28;2;1910;16872;25.9;55
5;1;1930;50820;35.2;164
2;1;1900;38981;34.6;161
9;1;1929;172671;35;163
19;1;1928;110000;30.5;142
17;1;1901;65598;12.16;25.8
3;1;1924;109845;18;67
20;1;1965;430000;27;112
7;1;1914;59119;28;116
15;0;1905;41042;38.1;187
27;2;1900;9794;31.2;66
15;1;1901;11000;34.1;159
1;1;1923;60748;34;158
30;2;1920;10035;40;85
18;1;1951;210468;13.11;40.8
1;1;1936;88955;33;154
14;1;1962;47100;36;168
7;1;1914;70744;26;108
9;1;1930;231733;40;196
10;2;1905;19872;18.51;39.3
5;2;1930;11578;38.9;191
34;2;1910;9600;17.97;38.1
9;1;1902;130410;35;163
9;1;1910;10934;34;158
15;2;1900;10500;28.1;116
5;1;1963;262297;35.8;167
7;1;1929;99435;26;108
7;1;1925;66227;28;116
2;0;1900;79974;33.8;158
1;1;1940;19040;39;192
28;2;1900;8675;38;178
29;2;1920;10329;29;136
2;2;1900;10985;39;191
6;2;1900;13375;32;68
4;1;1959;242861;30.4;142
1;1;1930;117882;29;135
7;2;1926;34322;22;91
1;1;1915;9465;36;168
1;1;1927;171207;33;154
1;1;1924;54719;34;158
19;1;1958;510547;32.4;151
26;1;1949;299510;25.3;105
25;1;1962;275900;33;154
4;1;1923;50643;35;163
8;1;1926;153064;29;135
18;1;1923;71305;15;31.8
2;1;1941;54924;35;163
4;1;1910;18935;32;149
31;1;1915;19285;35.4;165
19;1;1927;90500;29.6;138
5;2;1880;5732;32.3;150
5;2;1911;9515;37.3;173
32;1;1959;30000;35;163
4;2;1925;9740;32;149
17;2;1926;12695;16.01;34
34;2;1900;32025;17.18;36.5
18;1;1939;80600;15;51
34;2;1930;19134;16.46;34.9
1;1;1972;114675;30;140
7;1;1925;280809;25;104
25;2;1900;9535;37;172
7;1;1931;150285;23;95
19;1;1959;154000;36;168
12;1;1920;31690;12;25.4
25;1;1910;14673;36;168
2;2;1930;11472;33.1;154
4;1;1930;76413;33.4;156
25;1;1976;126798;33;154
9;1;1909;118168;36;168
15;0;1898;33514;31;144
7;1;1913;83743;22;91
4;1;1948;112857;28.9;135
3;1;1974;362400;20;42.5
3;1;1925;23869;23.5;97
4;1;1916;64332;33;154
1;1;1929;81338;35;164
9;1;1925;107376;32;149
5;0;1915;25746;34.4;160
16;1;1937;50117;15;51
3;1;1930;100961;20;75
25;1;1963;69300;35.9;167
7;2;1910;18885;32;149
19;1;1968;539027;31.4;146
17;2;1920;12390;16.01;34
19;1;1959;118305;30.1;140
4;1;1924;51360;33;154
9;1;1923;71907;36;168
1;2;1910;9585;41;201
17;1;1925;26059;14.29;30.3
2;2;1900;23316;42;206
4;1;1928;68569;38;176
4;1;1926;38117;35;163
6;2;1910;10974;31;144
1;1;1910;86116;32;149
11;1;1920;28020;23.33;97
3;1;1929;204463;20;75
9;1;1907;124867;28;116
4;1;1928;31620;35;163
7;1;1914;69707;28;116
30;1;1908;62800;31;144
9;1;1920;44351;29;135
2;1;1926;41412;33.1;154
3;1;1917;77465;17;64
9;1;1924;75312;28;116
5;2;1910;10500;39;191
25;1;1964;186201;32.8;153
7;1;1926;123898;25;103
